Model,Threshold,Coverage,Mean Δ_k,Pre-rate,Post-rate,Examples,Pairs
GPT-OSS-20B,0.1,0.6909469302809573,-0.23855749512220809,0.6352071538932992,0.3966496587710911,17264,49603
GPT-OSS-20B,0.2,0.5045625550308173,-0.35289939947847415,0.6669332883963058,0.3140338889178317,12607,22496
GPT-OSS-20B,0.3,0.35675978547986875,-0.4595021364664753,0.7103171210964085,0.25081498462993324,8914,11376
GPT-OSS-20B,0.4,0.21944288801728967,-0.5611590765703538,0.7539831995718832,0.19282412300152946,5483,6023
GPT-OSS-20B,0.5,0.13495557512206835,-0.6403020429783003,0.787375462481866,0.1470734195035657,3372,3521
GPT-OSS-20B,0.6,0.07164011846634115,-0.7251240851552297,0.8343772497748623,0.10925316461963257,1790,1822
GPT-OSS-20B,0.7,0.03662050748419115,-0.8002174095326453,0.8754858156782022,0.07526840614555688,915,920
Llama-8B,0.1,0.7102994063867585,-0.1955709301664825,0.5071430330971185,0.31157210293063603,16393,36709
Llama-8B,0.2,0.3580744399670696,-0.30996117216074903,0.5675533669468711,0.25759219478612205,8264,11919
Llama-8B,0.3,0.17401100567615582,-0.4195436759958832,0.6287110215729258,0.20916734557704256,4016,4605
Llama-8B,0.4,0.08141600589280298,-0.5232197510335012,0.6827455643590722,0.15952581332557098,1879,1950
Llama-8B,0.5,0.03843320767797565,-0.6143473193942687,0.7295155473109594,0.11516822791669058,887,900
Llama-8B,0.6,0.016551843667403268,-0.7054721396174986,0.7867175432010334,0.08124540358353484,382,386
Llama-8B,0.7,0.007149356557909788,-0.786381972091315,0.8352478505322829,0.048865878440967944,165,165
Qwen-7B,0.1,0.734509380375215,-0.1910470062160041,0.46956348498281714,0.278516478766813,18362,37077
Qwen-7B,0.2,0.359574382975319,-0.3030685483530528,0.5380119779937553,0.23494342964070267,8989,11468
Qwen-7B,0.3,0.15496619864794592,-0.4097318549002084,0.6003420621892568,0.19061020728904843,3874,4203
Qwen-7B,0.4,0.06548261930477219,-0.5123093311614172,0.6644520274161675,0.15214269625475024,1637,1662
Qwen-7B,0.5,0.027761110444417775,-0.6042449152123153,0.7307313999845249,0.12648648477220953,694,696
Qwen-7B,0.6,0.0109604384175367,-0.6954466608470046,0.7997474646021154,0.10430080375511089,274,275
Qwen-7B,0.7,0.004280171206848274,-0.7733048198461656,0.8514772307846475,0.07817241093848179,107,107
Qwen-14B,0.1,0.7251471353645353,-0.20518058315819218,0.5830092714083851,0.377828688250193,18112,44156
Qwen-14B,0.2,0.41229931537014053,-0.312894165384919,0.6351233720741992,0.3222292066892802,10298,15981
Qwen-14B,0.3,0.219722144372823,-0.41621796221551677,0.6846360433871409,0.2684180811716242,5488,6524
Qwen-14B,0.4,0.10109300556511991,-0.52034056693757,0.7388900898652595,0.2185495229276894,2525,2683
Qwen-14B,0.5,0.046522800976898745,-0.608734083939799,0.7851983331594321,0.176464249219633,1162,1187
Qwen-14B,0.6,0.01853705408976258,-0.7007779818885098,0.8372941924381987,0.13651621054968882,463,468
Qwen-14B,0.7,0.007126556431917364,-0.7898686409285203,0.8830093985545592,0.09314075762603875,178,178
