model_display,env_display,tau,polarity,valid_example_count,event_example_count,coverage,valid_pair_count,event_pair_count,pair_coverage,mean_delta,mean_abs_delta,mean_pre_rate,mean_post_rate,mean_post_location
GPT-OSS-20B,AdvisorAudit,0.1,positive,5000,1923,0.3846,62384,2941,0.047143498332905875,0.19676821322237464,0.19676821322237464,0.5411440350819244,0.7379122483042991,0.5841327198746143
GPT-OSS-20B,AdvisorAudit,0.2,positive,5000,848,0.1696,62384,1014,0.01625416773531675,0.29879617333429936,0.29879617333429936,0.4513828130749326,0.750178986409232,0.613563475865512
GPT-OSS-20B,AdvisorAudit,0.3,positive,5000,344,0.0688,62384,367,0.005882918697101821,0.40166691851482916,0.40166691851482916,0.37677602921277503,0.7784429477276043,0.6533718912385365
GPT-OSS-20B,AdvisorAudit,0.4,positive,5000,126,0.0252,62384,130,0.002083867658373942,0.5039761904761905,0.5039761904761905,0.2952056514913658,0.7991818419675562,0.6675920516135447
GPT-OSS-20B,AdvisorAudit,0.5,positive,5000,51,0.0102,62384,51,0.0008175173121313157,0.5819767907162865,0.5819767907162865,0.21855942376950782,0.8005362144857943,0.6683076247090086
GPT-OSS-20B,AdvisorAudit,0.6,positive,5000,14,0.0028,62384,14,0.0002244165170556553,0.6570553935860058,0.6570553935860058,0.18000000000000002,0.8370553935860059,0.7649659863945579
GPT-OSS-20B,AdvisorAudit,0.7,positive,5000,2,0.0004,62384,2,3.205950243652218e-05,0.7893877551020408,0.7893877551020408,0.06,0.8493877551020408,0.8
GPT-OSS-20B,BS,0.1,positive,4986,2854,0.5724027276373846,60361,7741,0.12824505889564453,0.21277911952758163,0.21277911952758163,0.47054703358484173,0.6833261531124233,0.5458123887227515
GPT-OSS-20B,BS,0.2,positive,4986,1695,0.33995186522262333,60361,3101,0.051374231705902815,0.31729068365667845,0.31729068365667845,0.3923786155760091,0.7096692992326875,0.5674486070401998
GPT-OSS-20B,BS,0.3,positive,4986,1025,0.20557561171279584,60361,1328,0.02200096088533987,0.41683844646368096,0.41683844646368096,0.32641208110491,0.7432505275685909,0.5851607609159877
GPT-OSS-20B,BS,0.4,positive,4986,514,0.10308864821500201,60361,564,0.009343781580822054,0.5163165334844373,0.5163165334844373,0.26458142700578907,0.7808979604902264,0.596241784625702
GPT-OSS-20B,BS,0.5,positive,4986,250,0.05014039310068191,60361,257,0.0042577160749490564,0.6019367985988666,0.6019367985988666,0.20659657775459517,0.8085333763534619,0.5746296647961788
GPT-OSS-20B,BS,0.6,positive,4986,102,0.02045728038507822,60361,102,0.0016898328390848396,0.6878825865498474,0.6878825865498474,0.14498814571045213,0.8328707322602994,0.5649665069647769
GPT-OSS-20B,BS,0.7,positive,4986,30,0.006016847172081829,60361,30,0.0004970096585543645,0.7840125811253429,0.7840125811253429,0.10165664787411628,0.8856692289994593,0.6380392156862745
GPT-OSS-20B,CarSales,0.1,positive,5000,3334,0.6668,61832,5900,0.09541984732824428,0.19092543711027302,0.19092543711027302,0.577029100359926,0.767954537470199,0.4578497590672317
GPT-OSS-20B,CarSales,0.2,positive,5000,1523,0.3046,61832,1955,0.03161793246215552,0.29222352277487934,0.29222352277487934,0.4805425800267507,0.7727661028016299,0.47997044582383835
GPT-OSS-20B,CarSales,0.3,positive,5000,601,0.1202,61832,675,0.01091667744857032,0.3858320515096674,0.3858320515096674,0.4045257155630904,0.7903577670727578,0.5194487874749312
GPT-OSS-20B,CarSales,0.4,positive,5000,205,0.041,61832,211,0.003412472506145685,0.4858305010578533,0.4858305010578533,0.336148955727645,0.8219794567854983,0.5665684608115609
GPT-OSS-20B,CarSales,0.5,positive,5000,63,0.0126,61832,64,0.0010350627506792599,0.5837228861350889,0.5837228861350889,0.2625817757306613,0.8463046618657504,0.6417089204198578
GPT-OSS-20B,CarSales,0.6,positive,5000,22,0.0044,61832,22,0.0003558028205459956,0.6743891693342959,0.6743891693342959,0.20014630367249994,0.8745354730067958,0.6892440892440891
GPT-OSS-20B,CarSales,0.7,positive,5000,7,0.0014,61832,7,0.00011320998835554406,0.7483088752638867,0.7483088752638867,0.11302292797412586,0.8613318032380125,0.7722658294086865
GPT-OSS-20B,Gridworld,0.1,positive,5000,3545,0.709,69221,7336,0.1059793993152367,0.1854270680588831,0.1854270680588831,0.5473279832639236,0.7327550513228067,0.572979430789024
