Model,Environment,Threshold,Coverage,Mean Δ_k,Pre-rate,Post-rate,Examples,Pairs
GPT-OSS-20B,AdvisorAudit,0.3,0.0688,0.40166691851482916,0.37677602921277503,0.7784429477276043,344,367
GPT-OSS-20B,BS,0.3,0.20557561171279584,0.41683844646368096,0.32641208110491,0.7432505275685909,1025,1328
GPT-OSS-20B,CarSales,0.3,0.1202,0.3858320515096674,0.4045257155630904,0.7903577670727578,601,675
GPT-OSS-20B,Gridworld,0.3,0.1308,0.3864939780103678,0.4097634877819262,0.7962574657922942,654,715
GPT-OSS-20B,Interview,0.3,0.086,0.38487837788891327,0.3774474704375379,0.7623258483264512,430,469
Llama-8B,AdvisorAudit,0.3,0.1962,0.37600098591811293,0.3901012891344383,0.7661022750525512,981,1086
Llama-8B,BS,0.3,0.2106,0.39896543304957904,0.39453643387009957,0.7935018669196786,1053,1157
Llama-8B,CarSales,0.3,0.37674569665475804,0.42615281935553767,0.3427937272307815,0.7689465465863192,1160,1396
Llama-8B,Gridworld,0.3,0.2922,0.40347633180107406,0.2962727384875654,0.6997490702886395,1461,1660
Llama-8B,Interview,0.3,0.044,0.39859418455390233,0.41179175938657875,0.8103859439404811,220,226
Qwen-7B,AdvisorAudit,0.3,0.3504,0.4048619726926039,0.3440447982554437,0.7489067709480477,1752,2226
Qwen-7B,BS,0.3,0.257,0.39031962853682073,0.3629756913053336,0.7532953198421543,1285,1476
Qwen-7B,CarSales,0.3,0.2716,0.4152000075408765,0.38491307081092346,0.8001130783518001,1358,1476
Qwen-7B,Gridworld,0.3,0.416,0.45534760748232206,0.2875609001182169,0.7429085076005388,2080,2625
Qwen-7B,Interview,0.3,0.33606721344268853,0.43765243688759414,0.375827973170402,0.8134804100579962,1680,1924
Qwen-14B,AdvisorAudit,0.3,0.1828,0.39633776091081596,0.4041366223908919,0.8004743833017078,914,1054
Qwen-14B,BS,0.3,0.14622924584916983,0.3816087309834942,0.4237926145391643,0.8054013455226586,731,808
Qwen-14B,CarSales,0.3,0.20076060848678942,0.4023108996125243,0.40284336525909614,0.8051542648716205,1003,1117
Qwen-14B,Gridworld,0.3,0.2489967897271268,0.39545815641692916,0.3915838926174497,0.7870420490343789,1241,1490
Qwen-14B,Interview,0.3,0.03861544617847139,0.3660472940003633,0.4180209952001105,0.7840682892004739,193,197
