Model,Threshold,Coverage,Mean Δ_k,Pre-rate,Post-rate,Examples,Pairs
GPT-OSS-20B,0.1,0.5864484111102217,0.19368427746763706,0.5354277244230063,0.7291120018906435,14653,29112
GPT-OSS-20B,0.2,0.2737933242615865,0.29937263739125675,0.44124165434835316,0.7406142917396099,6841,9698
GPT-OSS-20B,0.3,0.12222844793084127,0.39906049641954117,0.36995235279481636,0.7690128492143575,3054,3554
GPT-OSS-20B,0.4,0.0481869847114384,0.5010713116590757,0.29665570658981594,0.7977270182488917,1204,1272
GPT-OSS-20B,0.5,0.018410309773473146,0.5962287398027775,0.21706554197404201,0.8132942817768194,460,468
GPT-OSS-20B,0.6,0.006843832546225887,0.6847610070874128,0.16121321335316904,0.8459742204405818,171,171
GPT-OSS-20B,0.7,0.0020411430401024574,0.7775820465043811,0.10938875910784379,0.8869708056122247,51,51
Llama-8B,0.1,0.701460201915161,0.19683119136450708,0.46565362748641126,0.6624848188509184,16189,42507
Llama-8B,0.2,0.4270115689587937,0.30312278807539317,0.4018943925557157,0.705017180631109,9855,14432
Llama-8B,0.3,0.21123098921097103,0.4026610695139781,0.3517731005814664,0.7544341700954444,4875,5525
Llama-8B,0.4,0.08496901945491572,0.5078772708947289,0.292441496301575,0.8003187671963041,1961,2021
Llama-8B,0.5,0.03496685298323151,0.5977469691322612,0.22863574825957075,0.8263827173918319,807,809
Llama-8B,0.6,0.01217557086528879,0.6944267201657622,0.18377749495657977,0.878204215122342,281,281
Llama-8B,0.7,0.004896226006326098,0.7637933813428615,0.15141118636303702,0.9152045677058984,113,113
Qwen-7B,0.1,0.7611904476179047,0.214488147268068,0.4144227038817777,0.6289108511498457,19029,55813
Qwen-7B,0.2,0.5424616984679387,0.3214657049418095,0.38309035835222766,0.7045560632940371,13561,22360
Qwen-7B,0.3,0.3262130485219409,0.42433437774002714,0.34416242592684143,0.7684968036668685,8155,9727
Qwen-7B,0.4,0.16108644345773832,0.5277103359624774,0.2939795929351893,0.8216899288976668,4027,4243
Qwen-7B,0.5,0.07844313772550902,0.6189794309029785,0.2418950157522756,0.860874446655254,1961,1985
Qwen-7B,0.6,0.03700148005920237,0.6998851749978819,0.19054967811228574,0.8904348531101677,925,929
Qwen-7B,0.7,0.014480579223168926,0.7832052523365765,0.1412749897882203,0.9244802421247967,362,363
Qwen-14B,0.1,0.6618489009889098,0.19364296253329458,0.5041596501673167,0.6978026127006114,16531,40710
Qwen-14B,0.2,0.36409496736998037,0.29372969051700765,0.44857701514593984,0.7423067056629475,9094,13467
Qwen-14B,0.3,0.16343035592745325,0.3936573295073187,0.40380853141801903,0.7974658609253378,4082,4666
Qwen-14B,0.4,0.0573727829603235,0.5047864953233929,0.3462881230909562,0.8510746184143493,1433,1484
Qwen-14B,0.5,0.020258637946911157,0.6100620507603944,0.26227417580198614,0.8723362265623806,506,513
Qwen-14B,0.6,0.008728029787404413,0.6926621206815975,0.2153066794821578,0.9079688001637554,218,220
Qwen-14B,0.7,0.0031228730431997437,0.7814639222901923,0.16361334111976275,0.9450772634099552,78,78
