model_id,environment,pair_role,n_rows,n_pairs,n_selector_rows,n_rows_with_pair_gold,mean_spike_delta,mean_pair_gold_action_share
gptoss,advisor_audit,pre_spike,58,58,0,58,0.5712174524982407,0.8025404644616467
gptoss,advisor_audit,spike,58,58,58,58,0.5712174524982407,0.8025404644616467
gptoss,bs,pre_spike,214,214,0,214,0.5860483676505038,0.8198382893560875
gptoss,bs,spike,214,214,214,214,0.5860483676505038,0.8198382893560875
gptoss,car_sales,pre_spike,60,60,0,60,0.5867657089402163,0.8783767673684747
gptoss,car_sales,spike,60,60,60,60,0.5867657089402163,0.8783767673684747
gptoss,gridworld,pre_spike,62,62,0,62,0.5866622778143515,0.6551470871987003
gptoss,gridworld,spike,62,62,62,62,0.5866622778143515,0.6551470871987003
gptoss,interview,pre_spike,42,42,0,42,0.5799698215396035,0.7819180127302525
gptoss,interview,spike,42,42,42,42,0.5799698215396035,0.7819180127302525
llama8b,advisor_audit,pre_spike,90,90,0,90,0.5716666666666667,0.8483333333333333
llama8b,advisor_audit,spike,90,90,90,90,0.5716666666666667,0.8483333333333333
llama8b,bs,pre_spike,135,135,0,135,0.588674287899292,0.8627514051565274
llama8b,bs,spike,135,135,135,135,0.588674287899292,0.8627514051565274
llama8b,car_sales,pre_spike,1811,1811,0,1797,0.6393943274931556,0.8163731059289822
llama8b,car_sales,spike,1811,1811,1811,1797,0.6393943274931556,0.8163731059289822
llama8b,gridworld,pre_spike,258,258,0,258,0.5824387283689609,0.5952145485866416
llama8b,gridworld,spike,258,258,258,258,0.5824387283689609,0.5952145485866416
llama8b,interview,pre_spike,34,34,0,34,0.5915991245059722,0.8522488854452667
llama8b,interview,spike,34,34,34,34,0.5915991245059722,0.8522488854452667
qwen14b,advisor_audit,pre_spike,146,146,0,146,0.5950684931506849,0.8342465753424657
qwen14b,advisor_audit,spike,146,146,146,146,0.5950684931506849,0.8342465753424657
qwen14b,bs,pre_spike,34,34,0,34,0.5711764705882353,0.8474659863945577
qwen14b,bs,spike,34,34,34,34,0.5711764705882353,0.8474659863945577
qwen14b,car_sales,pre_spike,104,104,0,104,0.5696804683411826,0.9055403009640158
qwen14b,car_sales,spike,104,104,104,104,0.5696804683411826,0.9055403009640158
qwen14b,gridworld,pre_spike,84,84,0,84,0.6038095238095238,0.840952380952381
qwen14b,gridworld,spike,84,84,84,84,0.6038095238095238,0.840952380952381
qwen14b,interview,pre_spike,9,9,0,9,0.5577777777777777,0.84
qwen14b,interview,spike,9,9,9,9,0.5577777777777777,0.84
qwen7b,advisor_audit,pre_spike,345,345,0,345,0.5873243251476139,0.8516617019115368
qwen7b,advisor_audit,spike,345,345,345,345,0.5873243251476139,0.8516617019115368
qwen7b,bs,pre_spike,117,117,0,111,0.5978745022286055,0.8705218398620671
qwen7b,bs,spike,117,117,117,111,0.5978745022286055,0.8705218398620671
qwen7b,car_sales,pre_spike,258,258,0,258,0.6139994390991069,0.8938294577857108
qwen7b,car_sales,spike,258,258,258,258,0.6139994390991069,0.8938294577857108
qwen7b,gridworld,pre_spike,579,579,0,579,0.605060678115248,0.8120047393274893
qwen7b,gridworld,spike,579,579,579,579,0.605060678115248,0.8120047393274893
qwen7b,interview,pre_spike,478,478,0,478,0.6208959895475392,0.9031315297284853
qwen7b,interview,spike,478,478,478,478,0.6208959895475392,0.9031315297284853
