model_display,env_display,tau,polarity,valid_example_count,event_example_count,coverage,valid_pair_count,event_pair_count,pair_coverage,mean_delta,mean_abs_delta,mean_pre_rate,mean_post_rate,mean_post_location
GPT-OSS-20B,AdvisorAudit,0.1,negative,5000,2793,0.5586,62384,10198,0.16347140292382661,-0.24892110458411146,0.24892110458411146,0.6587117317550704,0.4097906271709588,0.6390562892674034
GPT-OSS-20B,AdvisorAudit,0.2,negative,5000,2559,0.5118,62384,5245,0.08407604513977943,-0.34401752089517174,0.34401752089517174,0.6814005713031521,0.3373830504079804,0.6705823112941938
GPT-OSS-20B,AdvisorAudit,0.3,negative,5000,2010,0.402,62384,2703,0.043328417542959734,-0.436476537221579,0.436476537221579,0.7178175927681091,0.28134105554653005,0.6942881364692098
GPT-OSS-20B,AdvisorAudit,0.4,negative,5000,1159,0.2318,62384,1290,0.02067837907155681,-0.5356545864137291,0.5356545864137291,0.7613567936082362,0.225702207194507,0.7133040199148272
GPT-OSS-20B,AdvisorAudit,0.5,negative,5000,617,0.1234,62384,647,0.010371249038214927,-0.6168247836991362,0.6168247836991362,0.8042688347607815,0.18744405106164533,0.7302352275418008
GPT-OSS-20B,AdvisorAudit,0.6,negative,5000,267,0.0534,62384,271,0.004344062580148756,-0.7085994614551123,0.7085994614551123,0.8436709591585713,0.13507149770345886,0.7619622274115437
GPT-OSS-20B,AdvisorAudit,0.7,negative,5000,110,0.022,62384,111,0.0017793023852269814,-0.7925604708051517,0.7925604708051517,0.8844767726910586,0.09191630188590677,0.7933224433224434
GPT-OSS-20B,BS,0.1,negative,4986,3066,0.614921780986763,60361,5320,0.08813637945030732,-0.1920676745432159,0.1920676745432159,0.6232772177162009,0.431209543172985,0.47102902817672276
GPT-OSS-20B,BS,0.2,negative,4986,1297,0.2601283594063378,60361,1642,0.02720299531154222,-0.30791983861902317,0.30791983861902317,0.6702307920815433,0.3623109534625202,0.5020854399356226
GPT-OSS-20B,BS,0.3,negative,4986,538,0.10790212595266747,60361,603,0.009989894136942727,-0.42197844337123397,0.42197844337123397,0.7148234875084858,0.2928450441372519,0.5494571063454586
GPT-OSS-20B,BS,0.4,negative,4986,213,0.04271961492178099,60361,221,0.003661304484683819,-0.5588121115111501,0.5588121115111501,0.7655772993506368,0.20676518783948675,0.599508906126553
GPT-OSS-20B,BS,0.5,negative,4986,107,0.021460088247091856,60361,109,0.0018058017594141914,-0.680407916272798,0.680407916272798,0.8115287543574359,0.13112083808463798,0.6982630631645741
GPT-OSS-20B,BS,0.6,negative,4986,61,0.012234255916566386,60361,62,0.0010271532943456868,-0.7831145608459825,0.7831145608459825,0.8609509134385835,0.0778363525926011,0.7562235874498681
GPT-OSS-20B,BS,0.7,negative,4986,43,0.008624147613317288,60361,43,0.0007123805105945893,-0.8425773086520757,0.8425773086520757,0.8864325717274093,0.04385526307533371,0.8202561972910811
GPT-OSS-20B,CarSales,0.1,negative,5000,3628,0.7256,61832,9819,0.15880126795186958,-0.26454657899942363,0.26454657899942363,0.6241019815811774,0.3595554025817538,0.433817166753311
GPT-OSS-20B,CarSales,0.2,negative,5000,2876,0.5752,61832,4962,0.08024970888860138,-0.3831614846220972,0.3831614846220972,0.6529388252642524,0.26977734064215525,0.44520904903133374
