Model,Environment,Threshold,Coverage,Mean Δ_k,Pre-rate,Post-rate,Examples,Pairs
GPT-OSS-20B,AdvisorAudit,0.1,0.5586,-0.24892110458411146,0.6587117317550704,0.4097906271709588,2793,10198
GPT-OSS-20B,AdvisorAudit,0.2,0.5118,-0.34401752089517174,0.6814005713031521,0.3373830504079804,2559,5245
GPT-OSS-20B,AdvisorAudit,0.3,0.402,-0.436476537221579,0.7178175927681091,0.28134105554653005,2010,2703
GPT-OSS-20B,AdvisorAudit,0.4,0.2318,-0.5356545864137291,0.7613567936082362,0.225702207194507,1159,1290
GPT-OSS-20B,AdvisorAudit,0.5,0.1234,-0.6168247836991362,0.8042688347607815,0.18744405106164533,617,647
GPT-OSS-20B,AdvisorAudit,0.6,0.0534,-0.7085994614551123,0.8436709591585713,0.13507149770345886,267,271
GPT-OSS-20B,AdvisorAudit,0.7,0.022,-0.7925604708051517,0.8844767726910586,0.09191630188590677,110,111
GPT-OSS-20B,BS,0.1,0.614921780986763,-0.1920676745432159,0.6232772177162009,0.431209543172985,3066,5320
GPT-OSS-20B,BS,0.2,0.2601283594063378,-0.30791983861902317,0.6702307920815433,0.3623109534625202,1297,1642
GPT-OSS-20B,BS,0.3,0.10790212595266747,-0.42197844337123397,0.7148234875084858,0.2928450441372519,538,603
GPT-OSS-20B,BS,0.4,0.04271961492178099,-0.5588121115111501,0.7655772993506368,0.20676518783948675,213,221
GPT-OSS-20B,BS,0.5,0.021460088247091856,-0.680407916272798,0.8115287543574359,0.13112083808463798,107,109
GPT-OSS-20B,BS,0.6,0.012234255916566386,-0.7831145608459825,0.8609509134385835,0.0778363525926011,61,62
GPT-OSS-20B,BS,0.7,0.008624147613317288,-0.8425773086520757,0.8864325717274093,0.04385526307533371,43,43
GPT-OSS-20B,CarSales,0.1,0.7256,-0.26454657899942363,0.6241019815811774,0.3595554025817538,3628,9819
GPT-OSS-20B,CarSales,0.2,0.5752,-0.3831614846220972,0.6529388252642524,0.26977734064215525,2876,4962
GPT-OSS-20B,CarSales,0.3,0.4406,-0.49275974489521523,0.6978638773981934,0.20510413250297818,2203,2770
GPT-OSS-20B,CarSales,0.4,0.312,-0.5878363447917868,0.745874979303328,0.15803863451154107,1560,1686
GPT-OSS-20B,CarSales,0.5,0.2108,-0.6658131549656834,0.7884546821922438,0.12264152722656038,1054,1084
GPT-OSS-20B,CarSales,0.6,0.13,-0.7407907724710575,0.8364280442961031,0.09563727182504547,650,657
GPT-OSS-20B,CarSales,0.7,0.0778,-0.8056255521457331,0.8749632979626455,0.06933774581691256,389,390
GPT-OSS-20B,Gridworld,0.1,0.8258,-0.22295963096021523,0.6138828276714238,0.3909231967112084,4129,12820
GPT-OSS-20B,Gridworld,0.2,0.624,-0.3304371236512943,0.6603091774081652,0.32987205375687073,3120,5424
GPT-OSS-20B,Gridworld,0.3,0.3984,-0.434961332972832,0.7133723566884659,0.2784110237156338,1992,2468
GPT-OSS-20B,Gridworld,0.4,0.2028,-0.5443464357078576,0.7540787261190758,0.2097322904112182,1014,1112
GPT-OSS-20B,Gridworld,0.5,0.1144,-0.6260466058427434,0.7732082925573691,0.14716168671462587,572,596
GPT-OSS-20B,Gridworld,0.6,0.0544,-0.7143161996448075,0.8264308549278463,0.11211465528303864,272,277
GPT-OSS-20B,Gridworld,0.7,0.0252,-0.7918870391300202,0.864429574697837,0.0725425355678168,126,127
GPT-OSS-20B,Interview,0.1,0.7296,-0.24610734311750038,0.6532210560883882,0.4071137129708878,3648,11446
GPT-OSS-20B,Interview,0.2,0.551,-0.3705361618190076,0.6715425750444692,0.30100641322546157,2755,5223
GPT-OSS-20B,Interview,0.3,0.4342,-0.47832562141354035,0.7117168561697736,0.23339123475623333,2171,2832
GPT-OSS-20B,Interview,0.4,0.3074,-0.5653231687511526,0.7548525119956325,0.18952934324447984,1537,1714
GPT-OSS-20B,Interview,0.5,0.2044,-0.6326158141331276,0.7815791845372163,0.14896337040408864,1022,1085
GPT-OSS-20B,Interview,0.6,0.108,-0.7135628856053078,0.828408992084831,0.11484610647952313,540,555
GPT-OSS-20B,Interview,0.7,0.0494,-0.7920938190051168,0.8760449232084448,0.08395110420332817,247,249
Llama-8B,AdvisorAudit,0.1,0.799,-0.1892666286858222,0.48445340828460554,0.29518677959878337,3995,9140
Llama-8B,AdvisorAudit,0.2,0.4128,-0.2912272627755386,0.535309996516893,0.24408273374135445,2064,2900
Llama-8B,AdvisorAudit,0.3,0.1702,-0.3949952330774249,0.5897927643133123,0.1947975312358874,851,949
Llama-8B,AdvisorAudit,0.4,0.0588,-0.5084437086092716,0.6448344370860927,0.13639072847682118,294,302
Llama-8B,AdvisorAudit,0.5,0.0216,-0.6160550458715597,0.6953211009174312,0.07926605504587156,108,109
Llama-8B,AdvisorAudit,0.6,0.0084,-0.7088372093023255,0.7630232558139534,0.05418604651162791,42,43
Llama-8B,AdvisorAudit,0.7,0.0038,-0.7942105263157895,0.8236842105263157,0.02947368421052632,19,19
Llama-8B,BS,0.1,0.6358,-0.17296286783218123,0.4575668384973502,0.28460397066516885,3179,5923
Llama-8B,BS,0.2,0.2194,-0.29260350563851206,0.5207191191470356,0.22811561350852344,1097,1372
Llama-8B,BS,0.3,0.0778,-0.41433377211259237,0.582828505359751,0.16849473324715852,389,422
Llama-8B,BS,0.4,0.0318,-0.5362678721317712,0.6261734623932581,0.08990559026148705,159,161
Llama-8B,BS,0.5,0.0156,-0.6343003714876149,0.6894643327375621,0.055163961249947276,78,78
Llama-8B,BS,0.6,0.0082,-0.7190034704765921,0.7448743290268797,0.02587085855028764,41,41
Llama-8B,BS,0.7,0.0036,-0.8113966416862834,0.8166049750196167,0.005208333333333333,18,18
Llama-8B,CarSales,0.1,0.8285157518674895,-0.19156837831636833,0.43607789312560996,0.2445095148092417,2551,5146
Llama-8B,CarSales,0.2,0.42936018187723285,-0.29482439372911085,0.5171012367297763,0.2222768430006654,1322,1639
Llama-8B,CarSales,0.3,0.1627151672620981,-0.40638969292361027,0.6031636155626128,0.19677392263900256,501,539
Llama-8B,CarSales,0.4,0.06690483923351738,-0.5063734978940058,0.6661168066954095,0.15974330880140367,206,210
Llama-8B,CarSales,0.5,0.026307242611237416,-0.6025968946553456,0.7079247056842148,0.10532781102886923,81,81
Llama-8B,CarSales,0.6,0.00909386164339071,-0.702456442186414,0.7641885196327773,0.06173207744636317,28,28
Llama-8B,CarSales,0.7,0.003247807729782397,-0.791068550497122,0.8016326530612246,0.010564102564102562,10,10
Llama-8B,Gridworld,0.1,0.6834,-0.17430839220248281,0.4452429768397655,0.2709345846372827,3417,6342
Llama-8B,Gridworld,0.2,0.2516,-0.2799980556295358,0.5244580087884833,0.2444599531589475,1258,1549
Llama-8B,Gridworld,0.3,0.0858,-0.37706399829977577,0.5791556161214821,0.20209161782170634,429,452
Llama-8B,Gridworld,0.4,0.023,-0.4786067216855394,0.6262634614974517,0.14765673981191227,115,116
Llama-8B,Gridworld,0.5,0.0068,-0.5799584076054664,0.675344622697564,0.09538621509209744,34,34
Llama-8B,Gridworld,0.6,0.0014,-0.7208513708513707,0.7779942279942281,0.05714285714285716,7,7
Llama-8B,Gridworld,0.7,0.0008,-0.7621717171717172,0.8371717171717172,0.07500000000000001,4,4
Llama-8B,Interview,0.1,0.6502,-0.2297285415395555,0.6311137299349127,0.40138518839535725,3251,10158
Llama-8B,Interview,0.2,0.5046,-0.3434586162159012,0.6364495574473132,0.29299094123141217,2523,4459
Llama-8B,Interview,0.3,0.3692,-0.4426314437011714,0.669934803599205,0.22730335989803357,1846,2243
Llama-8B,Interview,0.4,0.221,-0.5327584606622293,0.7091032145694536,0.17634475390722426,1105,1161
Llama-8B,Interview,0.5,0.1172,-0.6149803079483932,0.7469768499902927,0.13199654204189953,586,598
Llama-8B,Interview,0.6,0.0528,-0.7027654068375843,0.7995501349805975,0.09678472814301306,264,267
Llama-8B,Interview,0.7,0.0228,-0.7815659076408401,0.8429999332296005,0.06143402558876042,114,114
Qwen-7B,AdvisorAudit,0.1,0.7454,-0.18433792423333636,0.43830040041398494,0.25396247618064854,3727,6793
Qwen-7B,AdvisorAudit,0.2,0.3036,-0.29047723013961807,0.5441258170556109,0.25364858691599274,1518,1916
Qwen-7B,AdvisorAudit,0.3,0.1128,-0.392950923845404,0.6088344935853567,0.2158835697399527,564,618
Qwen-7B,AdvisorAudit,0.4,0.0376,-0.5025126262626262,0.6713378684807255,0.1688252422180994,188,198
Qwen-7B,AdvisorAudit,0.5,0.0134,-0.613895065488882,0.7472433749619249,0.133348309473043,67,67
Qwen-7B,AdvisorAudit,0.6,0.0058,-0.6981843771991556,0.7913441238564392,0.0931597466572836,29,29
Qwen-7B,AdvisorAudit,0.7,0.0024,-0.7679591836734695,0.8729591836734693,0.10499999999999998,12,12
