Model,Environment,Threshold,Coverage,Mean Δ_k,Pre-rate,Post-rate,Examples,Pairs
GPT-OSS-20B,AdvisorAudit,0.3,0.402,-0.436476537221579,0.7178175927681091,0.28134105554653005,2010,2703
GPT-OSS-20B,BS,0.3,0.10790212595266747,-0.42197844337123397,0.7148234875084858,0.2928450441372519,538,603
GPT-OSS-20B,CarSales,0.3,0.4406,-0.49275974489521523,0.6978638773981934,0.20510413250297818,2203,2770
GPT-OSS-20B,Gridworld,0.3,0.3984,-0.434961332972832,0.7133723566884659,0.2784110237156338,1992,2468
GPT-OSS-20B,Interview,0.3,0.4342,-0.47832562141354035,0.7117168561697736,0.23339123475623333,2171,2832
Llama-8B,AdvisorAudit,0.3,0.1702,-0.3949952330774249,0.5897927643133123,0.1947975312358874,851,949
Llama-8B,BS,0.3,0.0778,-0.41433377211259237,0.582828505359751,0.16849473324715852,389,422
Llama-8B,CarSales,0.3,0.1627151672620981,-0.40638969292361027,0.6031636155626128,0.19677392263900256,501,539
Llama-8B,Gridworld,0.3,0.0858,-0.37706399829977577,0.5791556161214821,0.20209161782170634,429,452
Llama-8B,Interview,0.3,0.3692,-0.4426314437011714,0.669934803599205,0.22730335989803357,1846,2243
Qwen-7B,AdvisorAudit,0.3,0.1128,-0.392950923845404,0.6088344935853567,0.2158835697399527,564,618
Qwen-7B,BS,0.3,0.1218,-0.3962866161179631,0.5644475933714491,0.16816097725348603,609,659
Qwen-7B,CarSales,0.3,0.277,-0.41828095068584425,0.5965020718082608,0.17822112112241648,1385,1487
Qwen-7B,Gridworld,0.3,0.0516,-0.39666814984383914,0.6372912342626627,0.24062308441882344,258,268
Qwen-7B,Interview,0.3,0.21164232846569314,-0.4182882983427662,0.6124802517101912,0.19419195336742487,1058,1171
Qwen-14B,AdvisorAudit,0.3,0.338,-0.41827383029420856,0.6459061045033548,0.2276322742091463,1690,2047
Qwen-14B,BS,0.3,0.08621724344868974,-0.3957592936162494,0.6285164840068344,0.2327571903905849,431,470
Qwen-14B,CarSales,0.3,0.2932345876701361,-0.40366650602419946,0.6875791894875233,0.28391268346332377,1465,1705
Qwen-14B,Gridworld,0.3,0.05341068213642729,-0.38361010830324904,0.604187725631769,0.22057761732851988,267,277
Qwen-14B,Interview,0.3,0.32713085234093636,-0.43391663906710615,0.7453385113974823,0.3114218723303762,1635,2025
