model_display,tau,polarity,valid_example_count,event_example_count,coverage,valid_pair_count,event_pair_count,pair_coverage,mean_delta,mean_abs_delta,mean_pre_rate,mean_post_rate,mean_post_location
GPT-OSS-20B,0.1,negative,24986,17264,0.6909469302809573,321873,49603,0.15410736532731853,-0.23855749512220809,0.23855749512220809,0.6352071538932992,0.3966496587710911,0.512407723041701
GPT-OSS-20B,0.2,negative,24986,12607,0.5045625550308173,321873,22496,0.06989091971056907,-0.35289939947847415,0.35289939947847415,0.6669332883963058,0.3140338889178317,0.5335766523447929
GPT-OSS-20B,0.3,negative,24986,8914,0.35675978547986875,321873,11376,0.03534313222917113,-0.4595021364664753,0.4595021364664753,0.7103171210964085,0.25081498462993324,0.5503477668569813
GPT-OSS-20B,0.4,negative,24986,5483,0.21944288801728967,321873,6023,0.01871234928061689,-0.5611590765703538,0.5611590765703538,0.7539831995718832,0.19282412300152946,0.5614456032205151
GPT-OSS-20B,0.5,negative,24986,3372,0.13495557512206835,321873,3521,0.010939097097302352,-0.6403020429783003,0.6403020429783003,0.787375462481866,0.1470734195035657,0.5772498299416622
GPT-OSS-20B,0.6,negative,24986,1790,0.07164011846634115,321873,1822,0.005660617697042001,-0.7251240851552297,0.7251240851552297,0.8343772497748623,0.10925316461963257,0.5717877421144678
GPT-OSS-20B,0.7,negative,24986,915,0.03662050748419115,321873,920,0.0028582701873099015,-0.8002174095326453,0.8002174095326453,0.8754858156782022,0.07526840614555688,0.5728671423596294
Llama-8B,0.1,negative,23079,16393,0.7102994063867585,318340,36709,0.11531381541747816,-0.1955709301664825,0.1955709301664825,0.5071430330971185,0.31157210293063603,0.5507490459367543
Llama-8B,0.2,negative,23079,8264,0.3580744399670696,318340,11919,0.03744110070993278,-0.30996117216074903,0.30996117216074903,0.5675533669468711,0.25759219478612205,0.6231736955654651
Llama-8B,0.3,negative,23079,4016,0.17401100567615582,318340,4605,0.014465665640510146,-0.4195436759958832,0.4195436759958832,0.6287110215729258,0.20916734557704256,0.6922010140193701
Llama-8B,0.4,negative,23079,1879,0.08141600589280298,318340,1950,0.006125526166991267,-0.5232197510335012,0.5232197510335012,0.6827455643590722,0.15952581332557098,0.7520030226184073
Llama-8B,0.5,negative,23079,887,0.03843320767797565,318340,900,0.0028271659232267385,-0.6143473193942687,0.6143473193942687,0.7295155473109594,0.11516822791669058,0.799968728257944
Llama-8B,0.6,negative,23079,382,0.016551843667403268,318340,386,0.0012125400515172458,-0.7054721396174986,0.7054721396174986,0.7867175432010334,0.08124540358353484,0.8438948054975944
Llama-8B,0.7,negative,23079,165,0.007149356557909788,318340,165,0.0005183137525915688,-0.786381972091315,0.786381972091315,0.8352478505322829,0.048865878440967944,0.8645237387884446
Qwen-7B,0.1,negative,24999,18362,0.734509380375215,340077,37077,0.10902530897414409,-0.1910470062160041,0.1910470062160041,0.46956348498281714,0.278516478766813,0.5338564934491099
Qwen-7B,0.2,negative,24999,8989,0.359574382975319,340077,11468,0.033721774774536355,-0.3030685483530528,0.3030685483530528,0.5380119779937553,0.23494342964070267,0.5919789986478753
Qwen-7B,0.3,negative,24999,3874,0.15496619864794592,340077,4203,0.012358965763635883,-0.4097318549002084,0.4097318549002084,0.6003420621892568,0.19061020728904843,0.6477114042639718
Qwen-7B,0.4,negative,24999,1637,0.06548261930477219,340077,1662,0.004887128503250735,-0.5123093311614172,0.5123093311614172,0.6644520274161675,0.15214269625475024,0.7051300384332875
Qwen-7B,0.5,negative,24999,694,0.027761110444417775,340077,696,0.002046595329881174,-0.6042449152123153,0.6042449152123153,0.7307313999845249,0.12648648477220953,0.7468969568107499
Qwen-7B,0.6,negative,24999,274,0.0109604384175367,340077,275,0.0008086403961455788,-0.6954466608470046,0.6954466608470046,0.7997474646021154,0.10430080375511089,0.784331955922865
Qwen-7B,0.7,negative,24999,107,0.004280171206848274,340077,107,0.00031463462686391613,-0.7733048198461656,0.7733048198461656,0.8514772307846475,0.07817241093848179,0.7992967313060773
Qwen-14B,0.1,negative,24992,18118,0.7249519846350833,338121,44165,0.13061892044563927,-0.20516865911769805,0.20516865911769805,0.5829321269853652,0.3777634678676672,0.5483901896901276
Qwen-14B,0.2,negative,24992,10299,0.4120918693982074,338121,15982,0.04726710260528036,-0.3128896043684389,0.3128896043684389,0.6351036546813775,0.3222140503129387,0.5995019373758875
Qwen-14B,0.3,negative,24992,5488,0.21959026888604352,338121,6524,0.01929486781359336,-0.41621796221551677,0.41621796221551677,0.6846360433871409,0.2684180811716242,0.6433779847913635
Qwen-14B,0.4,negative,24992,2525,0.10103233034571063,338121,2683,0.00793502917594589,-0.52034056693757,0.52034056693757,0.7388900898652595,0.2185495229276894,0.6755402161559667
Qwen-14B,0.5,negative,24992,1162,0.04649487836107554,338121,1187,0.0035105775743003243,-0.608734083939799,0.608734083939799,0.7851983331594321,0.176464249219633,0.693126139419935
Qwen-14B,0.6,negative,24992,463,0.018525928297055058,338121,468,0.0013841198860762864,-0.7007779818885098,0.7007779818885098,0.8372941924381987,0.13651621054968882,0.7183107701819994
Qwen-14B,0.7,negative,24992,178,0.007122279129321383,338121,178,0.0005264387600888439,-0.7898686409285203,0.7898686409285203,0.8830093985545592,0.09314075762603875,0.7383618653322883
