Model,Environment,Threshold,Coverage,Mean Δ_k,Pre-rate,Post-rate,Examples,Pairs
GPT-OSS-20B,AdvisorAudit,0.1,0.3846,0.19676821322237464,0.5411440350819244,0.7379122483042991,1923,2941
GPT-OSS-20B,AdvisorAudit,0.2,0.1696,0.29879617333429936,0.4513828130749326,0.750178986409232,848,1014
GPT-OSS-20B,AdvisorAudit,0.3,0.0688,0.40166691851482916,0.37677602921277503,0.7784429477276043,344,367
GPT-OSS-20B,AdvisorAudit,0.4,0.0252,0.5039761904761905,0.2952056514913658,0.7991818419675562,126,130
GPT-OSS-20B,AdvisorAudit,0.5,0.0102,0.5819767907162865,0.21855942376950782,0.8005362144857943,51,51
GPT-OSS-20B,AdvisorAudit,0.6,0.0028,0.6570553935860058,0.18000000000000002,0.8370553935860059,14,14
GPT-OSS-20B,AdvisorAudit,0.7,0.0004,0.7893877551020408,0.06,0.8493877551020408,2,2
GPT-OSS-20B,BS,0.1,0.5724027276373846,0.21277911952758163,0.47054703358484173,0.6833261531124233,2854,7741
GPT-OSS-20B,BS,0.2,0.33995186522262333,0.31729068365667845,0.3923786155760091,0.7096692992326875,1695,3101
GPT-OSS-20B,BS,0.3,0.20557561171279584,0.41683844646368096,0.32641208110491,0.7432505275685909,1025,1328
GPT-OSS-20B,BS,0.4,0.10308864821500201,0.5163165334844373,0.26458142700578907,0.7808979604902264,514,564
GPT-OSS-20B,BS,0.5,0.05014039310068191,0.6019367985988666,0.20659657775459517,0.8085333763534619,250,257
GPT-OSS-20B,BS,0.6,0.02045728038507822,0.6878825865498474,0.14498814571045213,0.8328707322602994,102,102
GPT-OSS-20B,BS,0.7,0.006016847172081829,0.7840125811253429,0.10165664787411628,0.8856692289994593,30,30
GPT-OSS-20B,CarSales,0.1,0.6668,0.19092543711027302,0.577029100359926,0.767954537470199,3334,5900
GPT-OSS-20B,CarSales,0.2,0.3046,0.29222352277487934,0.4805425800267507,0.7727661028016299,1523,1955
GPT-OSS-20B,CarSales,0.3,0.1202,0.3858320515096674,0.4045257155630904,0.7903577670727578,601,675
GPT-OSS-20B,CarSales,0.4,0.041,0.4858305010578533,0.336148955727645,0.8219794567854983,205,211
GPT-OSS-20B,CarSales,0.5,0.0126,0.5837228861350889,0.2625817757306613,0.8463046618657504,63,64
GPT-OSS-20B,CarSales,0.6,0.0044,0.6743891693342959,0.20014630367249994,0.8745354730067958,22,22
GPT-OSS-20B,CarSales,0.7,0.0014,0.7483088752638867,0.11302292797412586,0.8613318032380125,7,7
GPT-OSS-20B,Gridworld,0.1,0.709,0.1854270680588831,0.5473279832639236,0.7327550513228067,3545,7336
GPT-OSS-20B,Gridworld,0.2,0.3296,0.2880351423697145,0.46604279507186336,0.7540779374415778,1648,2206
GPT-OSS-20B,Gridworld,0.3,0.1308,0.3864939780103678,0.4097634877819262,0.7962574657922942,654,715
GPT-OSS-20B,Gridworld,0.4,0.0438,0.4873218796042469,0.3486041169100769,0.8359259965143238,219,223
GPT-OSS-20B,Gridworld,0.5,0.0114,0.602999878059538,0.22606563267337543,0.8290655107329135,57,57
GPT-OSS-20B,Gridworld,0.6,0.004,0.7129950065132435,0.17835938630771456,0.8913543928209583,20,20
GPT-OSS-20B,Gridworld,0.7,0.002,0.78263420900275,0.13526606600086843,0.9179002750036183,10,10
GPT-OSS-20B,Interview,0.1,0.5994,0.17827592530944547,0.5648234389485278,0.7430993642579734,2997,5194
GPT-OSS-20B,Interview,0.2,0.2254,0.28812629855667315,0.44806058694114986,0.7361868854978231,1127,1422
GPT-OSS-20B,Interview,0.3,0.086,0.38487837788891327,0.3774474704375379,0.7623258483264512,430,469
GPT-OSS-20B,Interview,0.4,0.028,0.4823629438073804,0.28527258005293804,0.7676355238603184,140,144
GPT-OSS-20B,Interview,0.5,0.0078,0.5878774076723376,0.19625250870592484,0.7841299163782625,39,39
GPT-OSS-20B,Interview,0.6,0.0026,0.6642208475415162,0.17602017030588463,0.8402410178474008,13,13
GPT-OSS-20B,Interview,0.7,0.0004,0.7465136054421768,0.13265306122448983,0.8791666666666667,2,2
Llama-8B,AdvisorAudit,0.1,0.8128,0.18794756978891222,0.5029930792528269,0.6909406490417391,4064,10497
Llama-8B,AdvisorAudit,0.2,0.484,0.28541226499006955,0.4467068757539204,0.73211914074399,2420,3316
Llama-8B,AdvisorAudit,0.3,0.1962,0.37600098591811293,0.3901012891344383,0.7661022750525512,981,1086
Llama-8B,AdvisorAudit,0.4,0.0512,0.4891984732824427,0.3293893129770993,0.818587786259542,256,262
Llama-8B,AdvisorAudit,0.5,0.0152,0.5848684210526317,0.2643421052631579,0.8492105263157895,76,76
Llama-8B,AdvisorAudit,0.6,0.0042,0.7,0.1980952380952381,0.8980952380952381,21,21
Llama-8B,AdvisorAudit,0.7,0.0018,0.7566666666666667,0.18666666666666665,0.9433333333333334,9,9
Llama-8B,BS,0.1,0.7134,0.18842818021730942,0.45790649780266357,0.6463346780199729,3567,10565
Llama-8B,BS,0.2,0.4592,0.29681103267536235,0.4218600286114138,0.7186710612867762,2296,3226
Llama-8B,BS,0.3,0.2106,0.39896543304957904,0.39453643387009957,0.7935018669196786,1053,1157
Llama-8B,BS,0.4,0.083,0.5009606134785841,0.3543033892476925,0.8552640027262768,415,421
Llama-8B,BS,0.5,0.0308,0.5959414198174575,0.2582592435030969,0.8542006633205543,154,154
Llama-8B,BS,0.6,0.0114,0.6814573490418107,0.20453201122270284,0.8859893602645134,57,57
Llama-8B,BS,0.7,0.0034,0.7607047061270594,0.1737863023975625,0.934491008524622,17,17
Llama-8B,CarSales,0.1,0.8038324131211432,0.222962693785176,0.3807099051881368,0.6036725989733127,2475,7244
Llama-8B,CarSales,0.2,0.608314387788243,0.3251505723954277,0.3627715263890216,0.6879220987844494,1873,3127
Llama-8B,CarSales,0.3,0.37674569665475804,0.42615281935553767,0.3427937272307815,0.7689465465863192,1160,1396
Llama-8B,CarSales,0.4,0.1938941214680091,0.5265915870994252,0.2917124209928285,0.8183040080922537,597,627
Llama-8B,CarSales,0.5,0.09645988957453719,0.6108440349097282,0.2434590344877675,0.8543030693974957,297,299
Llama-8B,CarSales,0.6,0.037674569665475804,0.7085358060402605,0.19184936334874758,0.9003851693890081,116,116
Llama-8B,CarSales,0.7,0.017538161740824943,0.7742674234936139,0.14704430490144774,0.9213117283950616,54,54
Llama-8B,Gridworld,0.1,0.7372,0.2047607612325125,0.44508341877136426,0.6498441800038769,3686,10839
Llama-8B,Gridworld,0.2,0.5206,0.30868490338580823,0.36176729760282317,0.6704522009886313,2603,4021
Llama-8B,Gridworld,0.3,0.2922,0.40347633180107406,0.2962727384875654,0.6997490702886395,1461,1660
Llama-8B,Gridworld,0.4,0.1238,0.501060391136113,0.23322672236418868,0.7342871135003015,619,636
Llama-8B,Gridworld,0.5,0.0492,0.5877859899811119,0.17661903588732858,0.7644050258684406,246,246
Llama-8B,Gridworld,0.6,0.0154,0.6789334907516725,0.1508881017971927,0.8298215925488652,77,77
Llama-8B,Gridworld,0.7,0.0054,0.7475907220351664,0.1327796483352039,0.8803703703703702,27,27
Llama-8B,Interview,0.1,0.4794,0.16910483119631156,0.6227592243061091,0.7918640555024206,2397,3362
Llama-8B,Interview,0.2,0.1326,0.28673959432809615,0.49715169054480624,0.7838912848729026,663,742
Llama-8B,Interview,0.3,0.044,0.39859418455390233,0.41179175938657875,0.8103859439404811,220,226
Llama-8B,Interview,0.4,0.0148,0.5133094977314112,0.3243553835476939,0.8376648812791051,74,75
Llama-8B,Interview,0.5,0.0068,0.5916058647867227,0.2606430206585439,0.8522488854452667,34,34
