model_display,tau,polarity,valid_example_count,event_example_count,coverage,valid_pair_count,event_pair_count,pair_coverage,mean_delta,mean_abs_delta,mean_pre_rate,mean_post_rate,mean_post_location
GPT-OSS-20B,0.1,positive,24986,14653,0.5864484111102217,321873,29112,0.09044561053583246,0.19368427746763706,0.19368427746763706,0.5354277244230063,0.7291120018906435,0.5442769808624096
GPT-OSS-20B,0.2,positive,24986,6841,0.2737933242615865,321873,9698,0.03012989595275155,0.29937263739125675,0.29937263739125675,0.44124165434835316,0.7406142917396099,0.577124524138008
GPT-OSS-20B,0.3,positive,24986,3054,0.12222844793084127,321873,3554,0.01104162200619499,0.39906049641954117,0.39906049641954117,0.36995235279481636,0.7690128492143575,0.6105851741608056
GPT-OSS-20B,0.4,positive,24986,1204,0.0481869847114384,321873,1272,0.003951869215498038,0.5010713116590757,0.5010713116590757,0.29665570658981594,0.7977270182488917,0.6268365553933672
GPT-OSS-20B,0.5,positive,24986,460,0.018410309773473146,321873,468,0.001453989617022863,0.5962287398027775,0.5962287398027775,0.21706554197404201,0.8132942817768194,0.6190159220702207
GPT-OSS-20B,0.6,positive,24986,171,0.006843832546225887,321873,171,0.000531265436989123,0.6847610070874128,0.6847610070874128,0.16121321335316904,0.8459742204405818,0.6318408515002942
GPT-OSS-20B,0.7,positive,24986,51,0.0020411430401024574,321873,51,0.0001584475864704402,0.7775820465043811,0.7775820465043811,0.10938875910784379,0.8869708056122247,0.7072035375236068
Llama-8B,0.1,positive,23079,16189,0.701460201915161,318340,42507,0.13352704655399886,0.19683119136450708,0.19683119136450708,0.46565362748641126,0.6624848188509184,0.5702156579413474
Llama-8B,0.2,positive,23079,9855,0.4270115689587937,318340,14432,0.045335176226675884,0.30312278807539317,0.30312278807539317,0.4018943925557157,0.705017180631109,0.5957570501308069
Llama-8B,0.3,positive,23079,4875,0.21123098921097103,318340,5525,0.017355657473141925,0.4026610695139781,0.4026610695139781,0.3517731005814664,0.7544341700954444,0.6318708441471284
Llama-8B,0.4,positive,23079,1961,0.08496901945491572,318340,2021,0.006348558145379155,0.5078772708947289,0.5078772708947289,0.292441496301575,0.8003187671963041,0.6745675267577647
Llama-8B,0.5,positive,23079,807,0.03496685298323151,318340,809,0.002541308035433813,0.5977469691322612,0.5977469691322612,0.22863574825957075,0.8263827173918319,0.6820721152539665
Llama-8B,0.6,positive,23079,281,0.01217557086528879,318340,281,0.0008827040271407929,0.6944267201657622,0.6944267201657622,0.18377749495657977,0.878204215122342,0.734080099824814
Llama-8B,0.7,positive,23079,113,0.004896226006326098,318340,113,0.0003549663881384683,0.7637933813428615,0.7637933813428615,0.15141118636303702,0.9152045677058984,0.7714048813411125
Qwen-7B,0.1,positive,24999,19029,0.7611904476179047,340077,55813,0.16411871429117522,0.214488147268068,0.214488147268068,0.4144227038817777,0.6289108511498457,0.5695690573376538
Qwen-7B,0.2,positive,24999,13561,0.5424616984679387,340077,22360,0.06574981548296416,0.3214657049418095,0.3214657049418095,0.38309035835222766,0.7045560632940371,0.6185657649580885
Qwen-7B,0.3,positive,24999,8155,0.3262130485219409,340077,9727,0.02860234593930198,0.42433437774002714,0.42433437774002714,0.34416242592684143,0.7684968036668685,0.6651984193758455
Qwen-7B,0.4,positive,24999,4027,0.16108644345773832,340077,4243,0.012476586184893421,0.5277103359624774,0.5277103359624774,0.2939795929351893,0.8216899288976668,0.7075181711033495
Qwen-7B,0.5,positive,24999,1961,0.07844313772550902,340077,1985,0.005836913404905359,0.6189794309029785,0.6189794309029785,0.2418950157522756,0.860874446655254,0.7351498192296829
Qwen-7B,0.6,positive,24999,925,0.03700148005920237,340077,929,0.002731734283706337,0.6998851749978819,0.6998851749978819,0.19054967811228574,0.8904348531101677,0.7604002489837988
Qwen-7B,0.7,positive,24999,362,0.014480579223168926,340077,363,0.001067405322912164,0.7832052523365765,0.7832052523365765,0.1412749897882203,0.9244802421247967,0.7930452571069976
Qwen-14B,0.1,positive,24992,16534,0.6615717029449424,338121,40714,0.12041251504638872,0.1936381835420352,0.1936381835420352,0.5041140481974619,0.6977522317394972,0.5802289228367192
Qwen-14B,0.2,positive,24992,9095,0.3639164532650448,338121,13468,0.039831894499306464,0.2937242160820123,0.2937242160820123,0.4485466782722284,0.7422708943542407,0.6220850929359333
Qwen-14B,0.3,positive,24992,4082,0.16333226632522407,338121,4666,0.013799793565025538,0.3936573295073187,0.3936573295073187,0.40380853141801903,0.7974658609253378,0.680317511030302
Qwen-14B,0.4,positive,24992,1433,0.05733834827144686,338121,1484,0.004388961348156429,0.5047864953233929,0.5047864953233929,0.3462881230909562,0.8510746184143493,0.7391184744447985
Qwen-14B,0.5,positive,24992,506,0.020246478873239437,338121,513,0.0015172083366605446,0.6100620507603944,0.6100620507603944,0.26227417580198614,0.8723362265623806,0.7698062515399977
Qwen-14B,0.6,positive,24992,218,0.008722791293213829,338121,220,0.0006506546473008184,0.6926621206815975,0.6926621206815975,0.2153066794821578,0.9079688001637554,0.7989071111597851
Qwen-14B,0.7,positive,24992,78,0.0031209987195902687,338121,78,0.00023068664767938104,0.7814639222901923,0.7814639222901923,0.16361334111976275,0.9450772634099552,0.8344928701263543
