Model,Environment,Deceptive Examples,Deceptive Commitment Fraction,Deceptive Commitment Location,Truthful Examples,Truthful Commitment Fraction,Truthful Commitment Location
GPT-OSS-20B,AdvisorAudit,2500,0.0216,"54.1% [48.2%, 60.8%]",2500,0.786,"68.1% [67.1%, 69.1%]"
GPT-OSS-20B,BS,2500,0.3908,"54.6% [52.9%, 56.4%]",2500,0.4904,"66.1% [64.7%, 67.5%]"
GPT-OSS-20B,CarSales,2500,0.1448,"47.5% [45.3%, 49.8%]",2500,0.8008,"33.5% [32.8%, 34.3%]"
GPT-OSS-20B,Gridworld,2500,0.1724,"66.3% [63.6%, 69.0%]",2500,0.6572,"44.7% [43.4%, 46.1%]"
GPT-OSS-20B,Interview,2500,0.0708,"71.6% [68.0%, 75.2%]",2500,0.816,"54.0% [52.8%, 55.2%]"
Llama-8B,AdvisorAudit,2500,0.3144,"59.2% [57.1%, 61.1%]",2500,0.296,"75.1% [73.8%, 76.5%]"
Llama-8B,BS,2500,0.386,"73.0% [71.5%, 74.7%]",2500,0.1272,"75.5% [72.9%, 78.3%]"
Llama-8B,CarSales,2500,0.7828,"56.5% [55.4%, 57.8%]",2500,0.4392,"44.7% [43.1%, 46.3%]"
Llama-8B,Gridworld,2500,0.5036,"48.3% [47.1%, 49.8%]",2500,0.134,"67.2% [64.6%, 69.9%]"
Llama-8B,Interview,2500,0.0408,"73.6% [69.5%, 77.4%]",2500,0.7104,"75.3% [74.3%, 76.4%]"
Qwen-7B,AdvisorAudit,2500,0.6452,"64.8% [63.8%, 65.8%]",2500,0.1264,"71.5% [69.5%, 73.5%]"
Qwen-7B,BS,2500,0.4436,"67.2% [65.4%, 68.8%]",2500,0.1848,"73.9% [72.1%, 75.9%]"
Qwen-7B,CarSales,2500,0.4216,"61.1% [59.9%, 62.5%]",2500,0.42,"61.0% [59.7%, 62.2%]"
Qwen-7B,Gridworld,2500,0.8184,"67.0% [66.2%, 67.9%]",2500,0.016,"72.5% [67.3%, 77.6%]"
Qwen-7B,Interview,2508,0.5793460925039873,"70.9% [69.8%, 72.0%]",2492,0.3146067415730337,"68.9% [67.5%, 70.4%]"
Qwen-14B,AdvisorAudit,2500,0.26,"58.6% [56.8%, 60.4%]",2500,0.5772,"62.9% [61.8%, 64.0%]"
Qwen-14B,BS,2499,0.2609043617446979,"62.6% [60.4%, 64.7%]",2500,0.1092,"73.3% [70.7%, 76.0%]"
Qwen-14B,CarSales,2500,0.2772,"56.3% [54.5%, 58.1%]",2500,0.4808,"62.1% [60.7%, 63.6%]"
Qwen-14B,Gridworld,2500,0.486,"75.8% [74.3%, 77.3%]",2499,0.023209283713485393,"65.5% [57.2%, 73.0%]"
Qwen-14B,Interview,2500,0.02,"80.7% [74.0%, 87.6%]",2500,0.6368,"70.2% [68.9%, 71.4%]"
