model_display,env_display,deceptive_examples,deceptive_commitment_examples,deceptive_commitment_example_fraction,deceptive_commitment_example_location_mean,deceptive_commitment_example_location_se,deceptive_commitment_example_location_ci_lower,deceptive_commitment_example_location_ci_upper,truthful_examples,truthful_commitment_examples,truthful_commitment_example_fraction,truthful_commitment_example_location_mean,truthful_commitment_example_location_se,truthful_commitment_example_location_ci_lower,truthful_commitment_example_location_ci_upper
GPT-OSS-20B,AdvisorAudit,2500,54,0.0216,0.5408120677829209,0.03319049371309903,0.48203516979366384,0.6078679191847699,2500,1965,0.786,0.6809491363044378,0.005154892807600261,0.6706173555685561,0.6914593494673332
GPT-OSS-20B,BS,2500,977,0.3908,0.5462798501959636,0.009366144583487104,0.5291147824425081,0.563916097871555,2500,1226,0.4904,0.661204909005067,0.006896464182282422,0.6472723528830989,0.6752083000639051
GPT-OSS-20B,CarSales,2500,362,0.1448,0.4753072254651763,0.011795629838476646,0.4525178830224033,0.49847023886656733,2500,2002,0.8008,0.33476534567730554,0.0038681560175589467,0.3277553693247768,0.34270547576009147
GPT-OSS-20B,Gridworld,2500,431,0.1724,0.663139745729909,0.014099262129226301,0.6362523952724081,0.6901386081458192,2500,1643,0.6572,0.4474034865255667,0.006866432071851023,0.4339151034164124,0.46122475615241465
GPT-OSS-20B,Interview,2500,177,0.0708,0.7161664991557757,0.019502047006236308,0.679662028668238,0.7521400398762575,2500,2040,0.816,0.5403626739401518,0.005987071311353462,0.5282567347770434,0.5520923997160248
Llama-8B,AdvisorAudit,2500,786,0.3144,0.59193712479118,0.0104688624764702,0.5712840126451378,0.6114857833619434,2500,740,0.296,0.7509507649783175,0.006572807935834255,0.7382994956372955,0.7647905118319942
Llama-8B,BS,2500,965,0.386,0.7303191721851123,0.008150831203374932,0.7151362417115674,0.7472835472857613,2500,318,0.1272,0.7550288141337979,0.014054550337461965,0.7292339037888845,0.7827326883273925
Llama-8B,CarSales,2500,1957,0.7828,0.5654083535549139,0.006031332198123276,0.5535772279322526,0.577886406609748,2500,1098,0.4392,0.4474228109081155,0.008256483188618664,0.4311063618535217,0.4626796873750039
Llama-8B,Gridworld,2500,1259,0.5036,0.48335301337405034,0.007584491585627385,0.4705834540504594,0.4977750498261072,2500,335,0.134,0.6720688545335186,0.013696434454930004,0.6458759185462132,0.698952233671199
Llama-8B,Interview,2500,102,0.0408,0.7362239505989601,0.020204377853637778,0.6951387569603279,0.7744607176914202,2500,1776,0.7104,0.7526838037112057,0.0051451340358518805,0.7428954720288534,0.763580378006176
Qwen-7B,AdvisorAudit,2500,1613,0.6452,0.6482787629867144,0.005189044732467592,0.6383923268118942,0.6583103183442442,2500,316,0.1264,0.7145076458228898,0.0101305774852562,0.6951020544551104,0.7347446805914344
Qwen-7B,BS,2500,1109,0.4436,0.6715383506238796,0.008441934767480173,0.6541468910427228,0.6879140571432247,2500,462,0.1848,0.7390586929045374,0.009754348467502116,0.720575055384551,0.7587438542265317
Qwen-7B,CarSales,2500,1054,0.4216,0.6114595345224646,0.006777424131274924,0.5992078010044695,0.6250607558767987,2500,1050,0.42,0.6097486072211342,0.0062417237676004,0.5974951421458154,0.6217223326544132
Qwen-7B,Gridworld,2500,2046,0.8184,0.6702720212750937,0.004467823737785743,0.6618350875772603,0.678989937190489,2500,40,0.016,0.7249298726100883,0.02678209551201469,0.6727915677325613,0.7756712430543774
Qwen-7B,Interview,2508,1453,0.5793460925039873,0.7089320992700873,0.005870016994580612,0.6975379753192675,0.7202565961001454,2492,784,0.3146067415730337,0.6894405600255417,0.007642619691568846,0.675117041780584,0.7041880966375949
Qwen-14B,AdvisorAudit,2500,650,0.26,0.5864752223313014,0.009286451282260471,0.5675645209703208,0.6039840072928088,2500,1443,0.5772,0.6289648281964415,0.005436146678424801,0.6180232779832219,0.6395959735858804
Qwen-14B,BS,2499,652,0.2609043617446979,0.6255809754959089,0.011490622598073078,0.6035119165217554,0.6473505509993795,2500,273,0.1092,0.7332560264380097,0.013817958666622259,0.7072839443763754,0.7599377886602059
Qwen-14B,CarSales,2500,693,0.2772,0.5630492635030793,0.009462057657465816,0.5449380550811659,0.5811373842559108,2500,1202,0.4808,0.6208736987031124,0.007506137678997511,0.6065311380729147,0.636396272981715
Qwen-14B,Gridworld,2500,1215,0.486,0.7582334217742143,0.0074046456281696305,0.7432977635376832,0.773349957251099,2499,58,0.023209283713485393,0.6551812328281765,0.0400732294478653,0.5721471336015337,0.7302741848156138
Qwen-14B,Interview,2500,50,0.02,0.8073758696602793,0.035935453375843335,0.7403668094778755,0.8759368187602792,2500,1592,0.6368,0.7019042407825904,0.006211950341818343,0.6887721295481259,0.7142517857403053
